,filename,outsideShape,factor,bitPerPart,radius,psnr,robustCheck,fragileRedCheck,fragileGreenCheck,fragileBlueCheck
2124,500-500-20-4-51.png,"(500, 500)",20,4,51,39.32640594115418,0.9791666666666666,1.0,1.0,1.0
2286,500-500-70-4-151.png,"(500, 500)",70,4,151,38.92211539990769,0.9791666666666666,1.0,1.0,1.0
1910,250-250-100-16-51.png,"(250, 250)",100,16,51,34.3535470842558,0.9754464285714286,1.0,1.0,1.0
1802,250-250-30-16-26.png,"(250, 250)",30,16,26,35.34425519803603,0.9754464285714286,1.0,1.0,1.0
1898,250-250-80-16-51.png,"(250, 250)",80,16,51,34.85860908500007,0.9754464285714286,1.0,1.0,1.0
1819,250-250-60-8-26.png,"(250, 250)",60,8,26,34.09561564334973,0.9732142857142856,1.0,1.0,1.0
1892,250-250-70-16-51.png,"(250, 250)",70,16,51,35.226157418060986,0.9732142857142856,1.0,1.0,1.0
1808,250-250-40-16-26.png,"(250, 250)",40,16,26,34.61309105190633,0.9732142857142856,1.0,1.0,1.0
1813,250-250-50-8-26.png,"(250, 250)",50,8,26,34.49381831514102,0.9732142857142856,1.0,1.0,1.0
1893,250-250-70-32-51.png,"(250, 250)",70,32,51,34.40261311771158,0.9709821428571428,1.0,1.0,1.0
2209,500-500-50-8-101.png,"(500, 500)",50,8,101,37.62440779205316,0.96875,1.0,1.0,1.0
2252,500-500-10-16-151.png,"(500, 500)",10,16,151,45.249597617148645,0.96875,1.0,1.0,1.0
1904,250-250-90-16-51.png,"(250, 250)",90,16,51,34.57844718181679,0.96875,1.0,1.0,1.0
1905,250-250-90-32-51.png,"(250, 250)",90,32,51,33.798563772910946,0.96875,1.0,1.0,1.0
1911,250-250-100-32-51.png,"(250, 250)",100,32,51,33.57841433007814,0.96875,1.0,1.0,1.0
1899,250-250-80-32-51.png,"(250, 250)",80,32,51,34.06501795323633,0.9676339285714286,1.0,1.0,1.0
1887,250-250-60-32-51.png,"(250, 250)",60,32,51,34.83851116107449,0.9665178571428572,1.0,1.0,1.0
1807,250-250-40-8-26.png,"(250, 250)",40,8,26,35.07616573150984,0.9642857142857144,1.0,1.0,1.0
1801,250-250-30-8-26.png,"(250, 250)",30,8,26,36.10500397090116,0.9642857142857144,1.0,1.0,1.0
1825,250-250-70-8-26.png,"(250, 250)",70,8,26,33.80363445432917,0.9642857142857144,1.0,1.0,1.0
1886,250-250-60-16-51.png,"(250, 250)",60,16,51,35.720367330818874,0.9642857142857144,1.0,1.0,1.0
1972,250-250-90-64-76.png,"(250, 250)",90,64,76,34.796576601400794,0.9620535714285714,1.0,1.0,1.0
1814,250-250-50-16-26.png,"(250, 250)",50,16,26,34.15856752704289,0.9620535714285714,1.0,1.0,1.0
1880,250-250-50-16-51.png,"(250, 250)",50,16,51,36.43806965037585,0.9598214285714286,1.0,1.0,1.0
1978,250-250-100-64-76.png,"(250, 250)",100,64,76,34.47481161535876,0.9587053571428572,1.0,1.0,1.0
1881,250-250-50-32-51.png,"(250, 250)",50,32,51,35.44688963917918,0.9587053571428572,1.0,1.0,1.0
2214,500-500-60-4-101.png,"(500, 500)",60,4,101,36.942841726220905,0.9583333333333334,1.0,1.0,1.0
2364,500-500-90-4-201.png,"(500, 500)",90,4,201,38.953262271995214,0.9583333333333334,1.0,1.0,1.0
2136,500-500-40-4-51.png,"(500, 500)",40,4,51,34.54031337642893,0.9583333333333334,1.0,1.0,1.0
2280,500-500-60-4-151.png,"(500, 500)",60,4,151,39.93206782765632,0.9583333333333334,1.0,1.0,1.0
2227,500-500-80-8-101.png,"(500, 500)",80,8,101,34.56079512507856,0.9583333333333334,1.0,1.0,1.0
2239,500-500-100-8-101.png,"(500, 500)",100,8,101,33.462291318577485,0.9583333333333334,1.0,1.0,1.0
2358,500-500-80-4-201.png,"(500, 500)",80,4,201,39.70342448341301,0.9583333333333334,1.0,1.0,1.0
2203,500-500-40-8-101.png,"(500, 500)",40,8,101,39.196545026528575,0.9583333333333334,1.0,1.0,1.0
2232,500-500-90-4-101.png,"(500, 500)",90,4,101,34.305017522119165,0.9583333333333334,1.0,1.0,1.0
2370,500-500-100-4-201.png,"(500, 500)",100,4,201,38.19410926886878,0.9583333333333334,1.0,1.0,1.0
2352,500-500-70-4-201.png,"(500, 500)",70,4,201,40.507766472418936,0.9583333333333334,1.0,1.0,1.0
1626,200-200-70-4-61.png,"(200, 200)",70,4,61,39.389436467128,0.9583333333333334,1.0,1.0,1.0
1574,200-200-90-16-41.png,"(200, 200)",90,16,41,35.276741961359065,0.9565972222222222,1.0,1.0,1.0
1894,250-250-70-64-51.png,"(250, 250)",70,64,51,33.77515988551711,0.9564732142857144,1.0,1.0,1.0
1599,200-200-20-32-61.png,"(200, 200)",20,32,61,44.4840406665169,0.9557291666666666,1.0,1.0,1.0
1820,250-250-60-16-26.png,"(250, 250)",60,16,26,33.830694190336686,0.9553571428571428,1.0,1.0,1.0
1826,250-250-70-16-26.png,"(250, 250)",70,16,26,33.582516398977816,0.9553571428571428,1.0,1.0,1.0
1974,250-250-100-4-76.png,"(250, 250)",100,4,76,36.86272434543666,0.9553571428571428,1.0,1.0,1.0
1580,200-200-100-16-41.png,"(200, 200)",100,16,41,35.026211616531754,0.9548611111111112,1.0,1.0,1.0
1888,250-250-60-64-51.png,"(250, 250)",60,64,51,34.12102813989178,0.9547991071428572,1.0,1.0,1.0
1966,250-250-80-64-76.png,"(250, 250)",80,64,76,35.19825709875855,0.9547991071428572,1.0,1.0,1.0
1803,250-250-30-32-26.png,"(250, 250)",30,32,26,34.492193503484216,0.9542410714285714,1.0,1.0,1.0
1882,250-250-50-64-51.png,"(250, 250)",50,64,51,34.59305495716459,0.953125,1.0,1.0,1.0
1797,250-250-20-32-26.png,"(250, 250)",20,32,26,35.779964178811944,0.953125,1.0,1.0,1.0
2120,500-500-10-16-51.png,"(500, 500)",10,16,51,41.55787456539864,0.953125,1.0,1.0,1.0
1977,250-250-100-32-76.png,"(250, 250)",100,32,76,35.13690115545606,0.953125,1.0,1.0,1.0
1598,200-200-20-16-61.png,"(200, 200)",20,16,61,45.45225020027508,0.953125,1.0,1.0,1.0
1815,250-250-50-32-26.png,"(250, 250)",50,32,26,33.37222290621556,0.953125,1.0,1.0,1.0
1809,250-250-40-32-26.png,"(250, 250)",40,32,26,33.815001494943566,0.953125,1.0,1.0,1.0
1960,250-250-70-64-76.png,"(250, 250)",70,64,76,35.71118510946544,0.9514508928571428,1.0,1.0,1.0
1575,200-200-90-32-41.png,"(200, 200)",90,32,41,34.72887158262898,0.9513888888888888,1.0,1.0,1.0
1620,200-200-60-4-61.png,"(200, 200)",60,4,61,40.237433379333,0.9513888888888888,1.0,1.0,1.0
