,filename,outsideShape,factor,bitPerPart,radius,psnr,robustCheck,fragileRedCheck,fragileGreenCheck,fragileBlueCheck
199,20-20-1-8-3.png,"(20, 20)",1,8,3,45.53929841470313,0.8049242424242424,1.0,1.0,1.0
204,20-20-10-4-3.png,"(20, 20)",10,4,3,44.7803381378523,0.889520202020202,1.0,1.0,1.0
210,20-20-20-4-3.png,"(20, 20)",20,4,3,43.70194512550108,0.8667929292929293,1.0,1.0,1.0
216,20-20-30-4-3.png,"(20, 20)",30,4,3,43.15734287169123,0.8636363636363636,1.0,1.0,1.0
222,20-20-40-4-3.png,"(20, 20)",40,4,3,42.78783867930383,0.8421717171717171,1.0,1.0,1.0
228,20-20-50-4-3.png,"(20, 20)",50,4,3,42.51964978208432,0.8314393939393939,1.0,1.0,1.0
234,20-20-60-4-3.png,"(20, 20)",60,4,3,42.32812881286709,0.8238636363636364,1.0,1.0,1.0
240,20-20-70-4-3.png,"(20, 20)",70,4,3,42.196931272040416,0.8074494949494949,1.0,1.0,1.0
266,20-20-1-16-5.png,"(20, 20)",1,16,5,49.722438395390895,0.8181818181818182,1.0,1.0,1.0
270,20-20-10-4-5.png,"(20, 20)",10,4,5,46.06385309900493,0.8775252525252525,1.0,1.0,1.0
271,20-20-10-8-5.png,"(20, 20)",10,8,5,45.50486863301594,0.9116161616161615,1.0,1.0,1.0
272,20-20-10-16-5.png,"(20, 20)",10,16,5,44.52935846059794,0.8773674242424242,1.0,1.0,1.0
276,20-20-20-4-5.png,"(20, 20)",20,4,5,44.71623891287828,0.88510101010101,1.0,1.0,1.0
277,20-20-20-8-5.png,"(20, 20)",20,8,5,44.17744355753419,0.9011994949494948,1.0,1.0,1.0
278,20-20-20-16-5.png,"(20, 20)",20,16,5,43.413196279236814,0.8203914141414141,1.0,1.0,1.0
282,20-20-30-4-5.png,"(20, 20)",30,4,5,44.01468117651756,0.8933080808080808,1.0,1.0,1.0
283,20-20-30-8-5.png,"(20, 20)",30,8,5,43.48605953396228,0.8787878787878788,1.0,1.0,1.0
288,20-20-40-4-5.png,"(20, 20)",40,4,5,43.58280469174552,0.8768939393939394,1.0,1.0,1.0
289,20-20-40-8-5.png,"(20, 20)",40,8,5,43.071575626885135,0.860479797979798,1.0,1.0,1.0
294,20-20-50-4-5.png,"(20, 20)",50,4,5,43.22503768116498,0.8781565656565656,1.0,1.0,1.0
295,20-20-50-8-5.png,"(20, 20)",50,8,5,42.764677505920325,0.8491161616161617,1.0,1.0,1.0
300,20-20-60-4-5.png,"(20, 20)",60,4,5,42.98140459344371,0.8756313131313131,1.0,1.0,1.0
301,20-20-60-8-5.png,"(20, 20)",60,8,5,42.5459437329781,0.8409090909090909,1.0,1.0,1.0
306,20-20-70-4-5.png,"(20, 20)",70,4,5,42.802888370639714,0.8642676767676768,1.0,1.0,1.0
307,20-20-70-8-5.png,"(20, 20)",70,8,5,42.35751384959475,0.8285984848484849,1.0,1.0,1.0
312,20-20-80-4-5.png,"(20, 20)",80,4,5,42.60755965493341,0.8642676767676768,1.0,1.0,1.0
313,20-20-80-8-5.png,"(20, 20)",80,8,5,42.20823749501234,0.8131313131313131,1.0,1.0,1.0
318,20-20-90-4-5.png,"(20, 20)",90,4,5,42.4729228146331,0.8547979797979798,1.0,1.0,1.0
319,20-20-90-8-5.png,"(20, 20)",90,8,5,42.11007476613894,0.8109217171717171,1.0,1.0,1.0
324,20-20-100-4-5.png,"(20, 20)",100,4,5,42.37938334884949,0.8560606060606061,1.0,1.0,1.0
325,20-20-100-8-5.png,"(20, 20)",100,8,5,42.02434798691712,0.8008207070707071,1.0,1.0,1.0
336,20-20-10-4-7.png,"(20, 20)",10,4,7,47.25949600520398,0.8781565656565656,1.0,1.0,1.0
337,20-20-10-8-7.png,"(20, 20)",10,8,7,46.739821588439455,0.913510101010101,1.0,1.0,1.0
338,20-20-10-16-7.png,"(20, 20)",10,16,7,45.559479366512136,0.8517992424242424,1.0,1.0,1.0
339,20-20-10-32-7.png,"(20, 20)",10,32,7,44.85261216066401,0.8177083333333334,1.0,1.0,1.0
342,20-20-20-4-7.png,"(20, 20)",20,4,7,45.57508537016774,0.8958333333333334,1.0,1.0,1.0
343,20-20-20-8-7.png,"(20, 20)",20,8,7,45.1365224332486,0.9214015151515152,1.0,1.0,1.0
344,20-20-20-16-7.png,"(20, 20)",20,16,7,44.16742361086619,0.8517992424242424,1.0,1.0,1.0
348,20-20-30-4-7.png,"(20, 20)",30,4,7,44.7205892571758,0.8958333333333334,1.0,1.0,1.0
349,20-20-30-8-7.png,"(20, 20)",30,8,7,44.2815966957961,0.9248737373737372,1.0,1.0,1.0
350,20-20-30-16-7.png,"(20, 20)",30,16,7,43.468234671147066,0.8383838383838383,1.0,1.0,1.0
354,20-20-40-4-7.png,"(20, 20)",40,4,7,44.21053285468077,0.8869949494949495,1.0,1.0,1.0
355,20-20-40-8-7.png,"(20, 20)",40,8,7,43.77229282050212,0.9166666666666666,1.0,1.0,1.0
356,20-20-40-16-7.png,"(20, 20)",40,16,7,43.04103728162267,0.829229797979798,1.0,1.0,1.0
360,20-20-50-4-7.png,"(20, 20)",50,4,7,43.83877606403405,0.8945707070707071,1.0,1.0,1.0
361,20-20-50-8-7.png,"(20, 20)",50,8,7,43.38022010788563,0.9103535353535354,1.0,1.0,1.0
362,20-20-50-16-7.png,"(20, 20)",50,16,7,42.7466288682825,0.8131313131313131,1.0,1.0,1.0
366,20-20-60-4-7.png,"(20, 20)",60,4,7,43.53416850367524,0.8863636363636364,1.0,1.0,1.0
367,20-20-60-8-7.png,"(20, 20)",60,8,7,43.10412692892432,0.9049873737373736,1.0,1.0,1.0
372,20-20-70-4-7.png,"(20, 20)",70,4,7,43.297758276788045,0.884469696969697,1.0,1.0,1.0
373,20-20-70-8-7.png,"(20, 20)",70,8,7,42.8947902987434,0.8898358585858586,1.0,1.0,1.0
378,20-20-80-4-7.png,"(20, 20)",80,4,7,43.108279725777365,0.8838383838383839,1.0,1.0,1.0
379,20-20-80-8-7.png,"(20, 20)",80,8,7,42.72712443747254,0.8781565656565656,1.0,1.0,1.0
384,20-20-90-4-7.png,"(20, 20)",90,4,7,42.93574971308773,0.8712121212121212,1.0,1.0,1.0
385,20-20-90-8-7.png,"(20, 20)",90,8,7,42.57514341927944,0.8718434343434344,1.0,1.0,1.0
390,20-20-100-4-7.png,"(20, 20)",100,4,7,42.79516001572337,0.8661616161616161,1.0,1.0,1.0
391,20-20-100-8-7.png,"(20, 20)",100,8,7,42.44396397600234,0.8607954545454546,1.0,1.0,1.0
468,40-40-10-4-5.png,"(40, 40)",10,4,5,43.3794263646854,0.8992346938775511,1.0,1.0,1.0
469,40-40-10-8-5.png,"(40, 40)",10,8,5,42.55195190536679,0.9056122448979592,1.0,1.0,1.0
470,40-40-10-16-5.png,"(40, 40)",10,16,5,41.65980907702436,0.8670280612244898,1.0,1.0,1.0
474,40-40-20-4-5.png,"(40, 40)",20,4,5,41.96566784425214,0.903061224489796,1.0,1.0,1.0
475,40-40-20-8-5.png,"(40, 40)",20,8,5,41.219989645668846,0.889030612244898,1.0,1.0,1.0
476,40-40-20-16-5.png,"(40, 40)",20,16,5,40.54272912205263,0.8246173469387755,1.0,1.0,1.0
480,40-40-30-4-5.png,"(40, 40)",30,4,5,41.27101914209313,0.889030612244898,1.0,1.0,1.0
481,40-40-30-8-5.png,"(40, 40)",30,8,5,40.569977284881205,0.8635204081632653,1.0,1.0,1.0
486,40-40-40-4-5.png,"(40, 40)",40,4,5,40.87974505475409,0.9056122448979592,1.0,1.0,1.0
487,40-40-40-8-5.png,"(40, 40)",40,8,5,40.16676980922389,0.8392857142857143,1.0,1.0,1.0
492,40-40-50-4-5.png,"(40, 40)",50,4,5,40.6159548419414,0.8801020408163265,1.0,1.0,1.0
493,40-40-50-8-5.png,"(40, 40)",50,8,5,39.88485417886518,0.8169642857142857,1.0,1.0,1.0
498,40-40-60-4-5.png,"(40, 40)",60,4,5,40.36783108444531,0.8686224489795918,1.0,1.0,1.0
504,40-40-70-4-5.png,"(40, 40)",70,4,5,40.1825662675623,0.8635204081632653,1.0,1.0,1.0
510,40-40-80-4-5.png,"(40, 40)",80,4,5,40.02683114488888,0.8571428571428571,1.0,1.0,1.0
516,40-40-90-4-5.png,"(40, 40)",90,4,5,39.91936352821212,0.8647959183673469,1.0,1.0,1.0
522,40-40-100-4-5.png,"(40, 40)",100,4,5,39.79901809978625,0.8469387755102041,1.0,1.0,1.0
534,40-40-10-4-9.png,"(40, 40)",10,4,9,45.40789693065055,0.8660714285714286,1.0,1.0,1.0
535,40-40-10-8-9.png,"(40, 40)",10,8,9,44.99384344593123,0.9387755102040816,1.0,1.0,1.0
536,40-40-10-16-9.png,"(40, 40)",10,16,9,44.17136913017102,0.9158163265306124,1.0,1.0,1.0
537,40-40-10-32-9.png,"(40, 40)",10,32,9,42.906006114373,0.8722895408163265,1.0,1.0,1.0
540,40-40-20-4-9.png,"(40, 40)",20,4,9,43.365114213626455,0.8877551020408163,1.0,1.0,1.0
541,40-40-20-8-9.png,"(40, 40)",20,8,9,42.91786050821089,0.9241071428571428,1.0,1.0,1.0
542,40-40-20-16-9.png,"(40, 40)",20,16,9,42.28518450560525,0.9024234693877552,1.0,1.0,1.0
543,40-40-20-32-9.png,"(40, 40)",20,32,9,41.36868094267495,0.8396045918367347,1.0,1.0,1.0
546,40-40-30-4-9.png,"(40, 40)",30,4,9,42.41259525411316,0.8839285714285714,1.0,1.0,1.0
547,40-40-30-8-9.png,"(40, 40)",30,8,9,41.93772363309501,0.9247448979591836,1.0,1.0,1.0
548,40-40-30-16-9.png,"(40, 40)",30,16,9,41.42785474569912,0.9091198979591836,1.0,1.0,1.0
549,40-40-30-32-9.png,"(40, 40)",30,32,9,40.66615009216711,0.8129783163265306,1.0,1.0,1.0
552,40-40-40-4-9.png,"(40, 40)",40,4,9,41.804239108660894,0.875,1.0,1.0,1.0
553,40-40-40-8-9.png,"(40, 40)",40,8,9,41.33434236145288,0.917091836734694,1.0,1.0,1.0
