,filename,outsideShape,factor,bitPerPart,radius,psnr
0,10-10-1-4-1.png,"(10, 10)",1,4,1,46.434616619054445
1,10-10-1-8-1.png,"(10, 10)",1,8,1,45.993809996183856
2,10-10-1-16-1.png,"(10, 10)",1,16,1,45.991298752984534
3,10-10-1-32-1.png,"(10, 10)",1,32,1,45.903815739275345
4,10-10-1-64-1.png,"(10, 10)",1,64,1,45.921189991245015
5,10-10-1-128-1.png,"(10, 10)",1,128,1,45.95518491913346
6,10-10-10-4-1.png,"(10, 10)",10,4,1,44.79021642090924
7,10-10-10-8-1.png,"(10, 10)",10,8,1,44.43736151906233
8,10-10-10-16-1.png,"(10, 10)",10,16,1,44.3368190437219
9,10-10-10-32-1.png,"(10, 10)",10,32,1,44.33940326634357
10,10-10-10-64-1.png,"(10, 10)",10,64,1,44.378859011166504
11,10-10-10-128-1.png,"(10, 10)",10,128,1,44.36620995532834
12,10-10-20-4-1.png,"(10, 10)",20,4,1,44.64227879137715
13,10-10-20-8-1.png,"(10, 10)",20,8,1,44.307283859812976
14,10-10-20-16-1.png,"(10, 10)",20,16,1,44.2246273429725
15,10-10-20-32-1.png,"(10, 10)",20,32,1,44.208450248024
16,10-10-20-64-1.png,"(10, 10)",20,64,1,44.242919666764195
17,10-10-20-128-1.png,"(10, 10)",20,128,1,44.21667013518282
18,10-10-30-4-1.png,"(10, 10)",30,4,1,44.60721474588635
19,10-10-30-8-1.png,"(10, 10)",30,8,1,44.28889815291889
20,10-10-30-16-1.png,"(10, 10)",30,16,1,44.21398797310141
21,10-10-30-32-1.png,"(10, 10)",30,32,1,44.22794974467386
22,10-10-30-64-1.png,"(10, 10)",30,64,1,44.2548645814529
23,10-10-30-128-1.png,"(10, 10)",30,128,1,44.21774246444801
24,10-10-40-4-1.png,"(10, 10)",40,4,1,44.53680371133245
25,10-10-40-8-1.png,"(10, 10)",40,8,1,44.25570067151419
26,10-10-40-16-1.png,"(10, 10)",40,16,1,44.18985514288845
27,10-10-40-32-1.png,"(10, 10)",40,32,1,44.197614376986614
28,10-10-40-64-1.png,"(10, 10)",40,64,1,44.219574531848416
29,10-10-40-128-1.png,"(10, 10)",40,128,1,44.18442612462645
30,10-10-50-4-1.png,"(10, 10)",50,4,1,44.45984317634419
31,10-10-50-8-1.png,"(10, 10)",50,8,1,44.20451516887664
32,10-10-50-16-1.png,"(10, 10)",50,16,1,44.15942815200776
33,10-10-50-32-1.png,"(10, 10)",50,32,1,44.16073813862681
34,10-10-50-64-1.png,"(10, 10)",50,64,1,44.17813873110504
35,10-10-50-128-1.png,"(10, 10)",50,128,1,44.142571142328
36,10-10-60-4-1.png,"(10, 10)",60,4,1,44.44555949921501
37,10-10-60-8-1.png,"(10, 10)",60,8,1,44.202221888591865
38,10-10-60-16-1.png,"(10, 10)",60,16,1,44.158749887681246
39,10-10-60-32-1.png,"(10, 10)",60,32,1,44.150918152616335
40,10-10-60-64-1.png,"(10, 10)",60,64,1,44.190648132885784
41,10-10-60-128-1.png,"(10, 10)",60,128,1,44.156177738627854
42,10-10-70-4-1.png,"(10, 10)",70,4,1,44.45989695201165
43,10-10-70-8-1.png,"(10, 10)",70,8,1,44.2016400073408
44,10-10-70-16-1.png,"(10, 10)",70,16,1,44.13459934569363
45,10-10-70-32-1.png,"(10, 10)",70,32,1,44.14647100159393
46,10-10-70-64-1.png,"(10, 10)",70,64,1,44.18005922931262
47,10-10-70-128-1.png,"(10, 10)",70,128,1,44.146450612970824
48,10-10-80-4-1.png,"(10, 10)",80,4,1,44.37478421102426
49,10-10-80-8-1.png,"(10, 10)",80,8,1,44.156899955243446
50,10-10-80-16-1.png,"(10, 10)",80,16,1,44.11764231353585
