,filename,outsideShape,factor,bitPerPart,radius,psnr,robustCheck,fragileRedCheck,fragileGreenCheck,fragileBlueCheck
271,20-20-10-8-5.png,"(20, 20)",10,8,5,45.50486863301594,0.9116161616161615,1.0,1.0,1.0
277,20-20-20-8-5.png,"(20, 20)",20,8,5,44.17744355753419,0.9011994949494948,1.0,1.0,1.0
337,20-20-10-8-7.png,"(20, 20)",10,8,7,46.739821588439455,0.913510101010101,1.0,1.0,1.0
343,20-20-20-8-7.png,"(20, 20)",20,8,7,45.1365224332486,0.9214015151515152,1.0,1.0,1.0
349,20-20-30-8-7.png,"(20, 20)",30,8,7,44.2815966957961,0.9248737373737372,1.0,1.0,1.0
355,20-20-40-8-7.png,"(20, 20)",40,8,7,43.77229282050212,0.9166666666666666,1.0,1.0,1.0
361,20-20-50-8-7.png,"(20, 20)",50,8,7,43.38022010788563,0.9103535353535354,1.0,1.0,1.0
367,20-20-60-8-7.png,"(20, 20)",60,8,7,43.10412692892432,0.9049873737373736,1.0,1.0,1.0
469,40-40-10-8-5.png,"(40, 40)",10,8,5,42.55195190536679,0.9056122448979592,1.0,1.0,1.0
474,40-40-20-4-5.png,"(40, 40)",20,4,5,41.96566784425214,0.903061224489796,1.0,1.0,1.0
486,40-40-40-4-5.png,"(40, 40)",40,4,5,40.87974505475409,0.9056122448979592,1.0,1.0,1.0
535,40-40-10-8-9.png,"(40, 40)",10,8,9,44.99384344593123,0.9387755102040816,1.0,1.0,1.0
536,40-40-10-16-9.png,"(40, 40)",10,16,9,44.17136913017102,0.9158163265306124,1.0,1.0,1.0
541,40-40-20-8-9.png,"(40, 40)",20,8,9,42.91786050821089,0.9241071428571428,1.0,1.0,1.0
542,40-40-20-16-9.png,"(40, 40)",20,16,9,42.28518450560525,0.9024234693877552,1.0,1.0,1.0
547,40-40-30-8-9.png,"(40, 40)",30,8,9,41.93772363309501,0.9247448979591836,1.0,1.0,1.0
548,40-40-30-16-9.png,"(40, 40)",30,16,9,41.42785474569912,0.9091198979591836,1.0,1.0,1.0
553,40-40-40-8-9.png,"(40, 40)",40,8,9,41.33434236145288,0.917091836734694,1.0,1.0,1.0
559,40-40-50-8-9.png,"(40, 40)",50,8,9,40.94938470252647,0.9068877551020408,1.0,1.0,1.0
565,40-40-60-8-9.png,"(40, 40)",60,8,9,40.634801893638,0.903061224489796,1.0,1.0,1.0
571,40-40-70-8-9.png,"(40, 40)",70,8,9,40.401220823033725,0.9017857142857144,1.0,1.0,1.0
601,40-40-10-8-13.png,"(40, 40)",10,8,13,46.78883298098854,0.9151785714285714,1.0,1.0,1.0
602,40-40-10-16-13.png,"(40, 40)",10,16,13,46.2447099228375,0.9320790816326532,1.0,1.0,1.0
603,40-40-10-32-13.png,"(40, 40)",10,32,13,44.75265888828894,0.9056122448979592,1.0,1.0,1.0
607,40-40-20-8-13.png,"(40, 40)",20,8,13,44.31897522864213,0.9317602040816326,1.0,1.0,1.0
608,40-40-20-16-13.png,"(40, 40)",20,16,13,43.78811974411733,0.9103954081632653,1.0,1.0,1.0
613,40-40-30-8-13.png,"(40, 40)",30,8,13,43.053244535959,0.9292091836734694,1.0,1.0,1.0
614,40-40-30-16-13.png,"(40, 40)",30,16,13,42.60850928749578,0.921875,1.0,1.0,1.0
619,40-40-40-8-13.png,"(40, 40)",40,8,13,42.302106546434445,0.923469387755102,1.0,1.0,1.0
620,40-40-40-16-13.png,"(40, 40)",40,16,13,41.91160596932727,0.9174107142857144,1.0,1.0,1.0
624,40-40-50-4-13.png,"(40, 40)",50,4,13,42.27820336820558,0.9068877551020408,1.0,1.0,1.0
625,40-40-50-8-13.png,"(40, 40)",50,8,13,41.78098814347472,0.9081632653061223,1.0,1.0,1.0
626,40-40-50-16-13.png,"(40, 40)",50,16,13,41.415871628139385,0.9164540816326532,1.0,1.0,1.0
631,40-40-60-8-13.png,"(40, 40)",60,8,13,41.38535476538439,0.9158163265306124,1.0,1.0,1.0
632,40-40-60-16-13.png,"(40, 40)",60,16,13,41.06277633491455,0.911033163265306,1.0,1.0,1.0
637,40-40-70-8-13.png,"(40, 40)",70,8,13,41.09817341814825,0.920280612244898,1.0,1.0,1.0
638,40-40-70-16-13.png,"(40, 40)",70,16,13,40.78659878112262,0.9072066326530612,1.0,1.0,1.0
643,40-40-80-8-13.png,"(40, 40)",80,8,13,40.83904585662307,0.9132653061224488,1.0,1.0,1.0
649,40-40-90-8-13.png,"(40, 40)",90,8,13,40.65139564310447,0.9113520408163264,1.0,1.0,1.0
655,40-40-100-8-13.png,"(40, 40)",100,8,13,40.49717915774903,0.9024234693877552,1.0,1.0,1.0
668,40-40-10-16-17.png,"(40, 40)",10,16,17,47.80247493518775,0.9154974489795918,1.0,1.0,1.0
669,40-40-10-32-17.png,"(40, 40)",10,32,17,47.09703335758675,0.9247448979591836,1.0,1.0,1.0
673,40-40-20-8-17.png,"(40, 40)",20,8,17,45.58409508800935,0.9419642857142856,1.0,1.0,1.0
674,40-40-20-16-17.png,"(40, 40)",20,16,17,45.2783164932088,0.9225127551020408,1.0,1.0,1.0
675,40-40-20-32-17.png,"(40, 40)",20,32,17,44.459231486138165,0.909279336734694,1.0,1.0,1.0
679,40-40-30-8-17.png,"(40, 40)",30,8,17,44.23859210272519,0.9190051020408164,1.0,1.0,1.0
680,40-40-30-16-17.png,"(40, 40)",30,16,17,43.92465359683823,0.9154974489795918,1.0,1.0,1.0
685,40-40-40-8-17.png,"(40, 40)",40,8,17,43.39832440197601,0.9209183673469388,1.0,1.0,1.0
686,40-40-40-16-17.png,"(40, 40)",40,16,17,43.102000630421145,0.9068877551020408,1.0,1.0,1.0
691,40-40-50-8-17.png,"(40, 40)",50,8,17,42.77936032832213,0.9215561224489796,1.0,1.0,1.0
692,40-40-50-16-17.png,"(40, 40)",50,16,17,42.51150938752373,0.903061224489796,1.0,1.0,1.0
